"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000032540",641.10556654988,-2.48332765040091,0.399285704153471,-6.2194254003304,4.98978787455046e-10,5.30636685314588e-09
"ENSMUSG00000052917",1270.73324060965,-1.92166346746879,0.309140539623684,-6.21614838936371,5.09506237301636e-10,5.41452884511032e-09
"ENSMUSG00000037138",1169.99423498848,2.17141930444177,0.349408149573701,6.21456399082573,5.14673571876552e-10,5.46561738637575e-09
"ENSMUSG00000048779",62.8588297995944,-11.2733104760466,1.81548848316343,-6.20951913525954,5.3146978042203e-10,5.64004198846188e-09
"ENSMUSG00000025823",1478.51253731689,1.72999250983018,0.278740353038997,6.20646594929204,5.41893552635526e-10,5.74664489547702e-09
"ENSMUSG00000050335",1095.48171765579,-4.70053791062519,0.758071694779015,-6.20065086587284,5.62301287128167e-10,5.95890254454176e-09
"ENSMUSG00000039735",775.921082154656,2.85177081165272,0.459978221980533,6.19979528459808,5.65366504070666e-10,5.98720762260609e-09
"ENSMUSG00000044991",193.273200754949,-3.840185357899,0.619725449970816,-6.19659134231108,5.76990508754549e-10,6.10604729334256e-09
"ENSMUSG00000018930",238.002647843449,3.74327507718437,0.604185560949576,6.19557188904218,5.80737783653222e-10,6.14142338618233e-09
"ENSMUSG00000014668",1159.51114875645,-1.90595360784669,0.307672638364803,-6.19474522653791,5.83793829908008e-10,6.16944544257691e-09
"ENSMUSG00000060671",329.854374136139,3.379220188613,0.545543159048927,6.19423070853673,5.857038419943e-10,6.18532583068528e-09
"ENSMUSG00000024283",2990.84160898561,-1.40208731087143,0.226482028756824,-6.19072214500895,5.98891985336898e-10,6.32020409265193e-09
"ENSMUSG00000035835",507.938049970588,2.50274013280941,0.404388495130187,6.18894989088077,6.05663309483698e-10,6.38722431793017e-09
"ENSMUSG00000045160",436.340179826112,-2.53610959921784,0.410124535618587,-6.18375488165479,6.25945371932556e-10,6.59653464133782e-09
"ENSMUSG00000097730",72.6018500910373,-11.4828071574448,1.85776221725362,-6.18098863826617,6.37014016365883e-10,6.7085262500224e-09
"ENSMUSG00000043962",3541.895956827,1.55719318727595,0.252096874530951,6.17696347950862,6.5346181042125e-10,6.87697231674089e-09
"ENSMUSG00000023048",703.02340470291,-1.8637679686116,0.301804133978206,-6.17542226491233,6.59868673473692e-10,6.93958841784729e-09
"ENSMUSG00000055805",1270.49192786574,-1.60164042787618,0.25944231458755,-6.17339708220843,6.68380642897513e-10,7.02424113705303e-09
"ENSMUSG00000066232",2118.29743242369,2.00866432244132,0.325551756970582,6.17003066158488,6.82767512971879e-10,7.17047541631463e-09
"ENSMUSG00000008540",811.616122316184,-2.90409958935282,0.470907872369555,-6.16702280796393,6.95877235779384e-10,7.30310414826933e-09
"ENSMUSG00000029616",1584.63814500728,1.66309591987921,0.269707525775943,6.16629408131833,6.99090156894778e-10,7.33175630014095e-09
"ENSMUSG00000027698",750.315259834452,2.88100369185243,0.46740315261537,6.16385164655326,7.09964621788563e-10,7.44066442131202e-09
"ENSMUSG00000016194",529.58164409266,-4.1731580510527,0.677806224680645,-6.15686002739047,7.42013747120145e-10,7.77118673363209e-09
"ENSMUSG00000066415",2592.92899557166,-1.34375885076344,0.218326091795524,-6.15482482974117,7.51605232719256e-10,7.86621437910036e-09
"ENSMUSG00000022157",1321.66599316322,-4.21735743769138,0.685726182864295,-6.15020622382447,7.7382264894902e-10,8.09316167144615e-09
"ENSMUSG00000019505",17493.9255587121,-1.5113019613035,0.245904548160748,-6.14588860843499,7.95170750346905e-10,8.31071095304068e-09
"ENSMUSG00000064225",5880.56168908231,-6.63663585951711,1.08007269087239,-6.14461963125522,8.01553596210399e-10,8.37165949934740e-09
"ENSMUSG00000081206",56.9397421714479,-11.1253654044691,1.81066394445345,-6.14435684686221,8.02881611213649e-10,8.37976642466699e-09
"ENSMUSG00000069305",548.119005508118,4.12023417814835,0.670643635534482,6.14370130399381,8.06203843467367e-10,8.40866179045016e-09
"ENSMUSG00000068264",296.841616855443,-3.6322355649647,0.591327393429699,-6.14251192372086,8.12265781810604e-10,8.4660728638132e-09
"ENSMUSG00000052920",226.728352570206,9.51124856358464,1.54852666604677,6.14212772187248,8.14233434078265e-10,8.4807605829304e-09
"ENSMUSG00000038437",392.032040156902,2.72209572908721,0.44341611149113,6.13891930975011,8.30847536075629e-10,8.64787572504764e-09
"ENSMUSG00000067719",697.689104908212,-1.82031645022983,0.296575712055814,-6.13777992004704,8.36826822548174e-10,8.70414529261409e-09
