"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000024052",5336.96642721438,-1.4167897850793,0.210744460828908,6.39820423207378e-12,6.67528844480147e-11
"ENSMUSG00000027677",6713.09039820921,-2.15676930831372,0.326112545525884,6.59568006435347e-12,6.87671338883462e-11
"ENSMUSG00000026202",5763.265350542,-1.93282719387842,0.290297713017129,6.64405631528274e-12,6.92252044026151e-11
"ENSMUSG00000065947",299.181648735455,-13.0610784372866,3.50588434606983,6.75733823821915e-12,7.03584710214575e-11
"ENSMUSG00000029913",293.072669483599,11.4241868725432,3.10898992211986,6.82867203321474e-12,7.1053745648677e-11
"ENSMUSG00000022814",1993.72334027312,2.02603662602185,0.305783881759311,6.91905788544458e-12,7.1946200974266e-11
"ENSMUSG00000044791",14088.515220059,-1.12545017501986,0.166557320331597,6.96707365767404e-12,7.23971847347769e-11
"ENSMUSG00000057236",15203.041844328,-2.02800312006491,0.30648692377353,7.03987277614716e-12,7.31049280225222e-11
"ENSMUSG00000052397",6331.39589172057,-1.44609358699974,0.215928189161663,7.208141156989e-12,7.48024608615097e-11
"ENSMUSG00000096764",285.500873342334,-12.9857501164702,3.49258729671395,7.23975527827412e-12,7.50805492498062e-11
"ENSMUSG00000037410",3626.67180142098,-1.52919997988364,0.228925116602139,7.63978280675847e-12,7.91763926921172e-11
"ENSMUSG00000078652",7880.70100710827,-2.16927792109709,0.330562949154219,7.91267874171175e-12,8.19501153136618e-11
"ENSMUSG00000036186",326.431162097417,11.5824024774491,3.14343070086427,8.13041362444575e-12,8.4149241144911e-11
"ENSMUSG00000033991",1523.81759257608,1.89897715547658,0.28688088757412,8.21143883330227e-12,8.49314512904329e-11
"ENSMUSG00000064288",9068.91209120115,-2.97893493217424,0.458555677304118,8.58309010106963e-12,8.87165950964008e-11
"ENSMUSG00000030265",2808.91503797019,-1.80302181860434,0.27238243202707,8.69686846205086e-12,8.98330607806407e-11
"ENSMUSG00000022186",3344.3708882767,2.0688760213923,0.314975503676122,8.80394667636612e-12,9.08187404662599e-11
"ENSMUSG00000027706",8125.89684731127,-1.48011370342237,0.221985945576814,8.79990287808199e-12,9.08187404662599e-11
"ENSMUSG00000032591",182.569163493563,-12.3100685348515,3.36700837687789,8.99496701259354e-12,9.27278775299573e-11
"ENSMUSG00000090673",1575.16278442388,-1.85140392628014,0.280251112495032,9.12240766820133e-12,9.39794899697648e-11
"ENSMUSG00000078143",368.959368105984,-7.67602667558937,1.22522473737481,9.19929840156729e-12,9.47090252214197e-11
"ENSMUSG00000027651",2250.31531567512,-1.63757987795767,0.246629015584625,9.26670821023978e-12,9.53400533815231e-11
"ENSMUSG00000030282",3667.39580279965,-1.84465294503698,0.27921504686546,9.36529105675617e-12,9.62907596976639e-11
"ENSMUSG00000039738",1899.4493243673,-2.09349259937911,0.318634535992843,9.43887791574284e-12,9.69833817222701e-11
"ENSMUSG00000050244",2204.36072162133,1.88553666081205,0.285737781499012,9.76465779062334e-12,1.00264638328357e-10
"ENSMUSG00000033910",282.970553710807,11.3577370809348,3.10006373801683,9.86754916345181e-12,1.01254436346757e-10
"ENSMUSG00000093656",3239.17175895223,-3.10499697127388,0.48011823599138,9.9529135088079e-12,1.02063199251177e-10
"ENSMUSG00000013787",1795.89111823561,2.25215375771199,0.343888647590606,1.0059487146577e-11,1.03076677288453e-10
"ENSMUSG00000044934",5341.91201461696,-1.59125164202808,0.239975462916315,1.00649709907632e-11,1.03076677288453e-10
"ENSMUSG00000031838",660.237704513323,-2.78016752956564,0.42865360935742,1.02015704090715e-11,1.04407011139986e-10
"ENSMUSG00000029798",2732.15331807149,-1.69696892884117,0.256749688663204,1.03023355268898e-11,1.05369097019443e-10
"ENSMUSG00000048960",280.91404894054,11.3456107840995,3.09911451426519,1.04066381785939e-11,1.06366078222782e-10
"ENSMUSG00000031310",621.826763034759,2.93015268817013,0.452378509438028,1.04576678142562e-11,1.06817606959902e-10
"ENSMUSG00000040557",1101.94513768002,-2.29854465832034,0.352117768048883,1.04951665319282e-11,1.07130426151385e-10
"ENSMUSG00000031583",7675.23367165489,-1.67135107488088,0.25285011857803,1.05551392204018e-11,1.07672090987174e-10
"ENSMUSG00000012609",1838.12956339464,-1.7166213706781,0.259929877422149,1.05743496587472e-11,1.0779750695284e-10
"ENSMUSG00000050982",186.763243434839,-12.3395316980876,3.37833360959183,1.07059814157352e-11,1.09068060344486e-10
"ENSMUSG00000097588",504.065395876937,-6.70993189672192,1.06708281691501,1.07373616531168e-11,1.09316300514129e-10
"ENSMUSG00000056608",3756.37221575707,1.41259524427372,0.212343640461821,1.08258318076516e-11,1.10145065526022e-10
"ENSMUSG00000063406",2409.80557845937,1.86111445220532,0.282807455145276,1.08713293325681e-11,1.1053581885632e-10
"ENSMUSG00000025931",291.396275250108,11.3964888383662,3.10856592727667,1.10489956885491e-11,1.1226903246246e-10
"ENSMUSG00000104342",649.283356395177,-3.76909368104971,0.587219446888883,1.11054478907556e-11,1.12769131122611e-10
